KEY_CODE,市区町村,地価平均,年度,人口
8310,城里町,31000,2006年,22790
8310,城里町,29666,2007年,22677
8310,城里町,28766,2008年,22341
8310,城里町,27600,2009年,22073
8310,城里町,26266,2010年,21491
8310,城里町,24333,2011年,21235
8310,城里町,22400,2012年,20926
8310,城里町,19833,2013年,20548
8310,城里町,18400,2014年,20334
8310,城里町,17166,2015年,19800
8310,城里町,16166,2016年,19459
8310,城里町,15600,2017年,19099
8310,城里町,15200,2018年,18763
8310,城里町,14833,2019年,18429
8310,城里町,14500,2020年,18097
8310,城里町,14166,2021年,17774
8310,城里町,13833,2022年,17564
8310,城里町,13500,2023年,17253
8341,東海村,59437,2002年,34885
8341,東海村,57237,2003年,35136
8341,東海村,55237,2004年,35384
8341,東海村,53362,2005年,35450
8341,東海村,51537,2006年,35926
8341,東海村,49562,2007年,36239
8341,東海村,48000,2008年,36506
8341,東海村,47000,2009年,36951
8341,東海村,45971,2010年,37438
8341,東海村,44714,2011年,37821
8341,東海村,43071,2012年,37829
8341,東海村,41442,2013年,37983
8341,東海村,40228,2014年,37942
8341,東海村,39585,2015年,37713
8341,東海村,39085,2016年,37683
8341,東海村,38828,2017年,37702
8341,東海村,38700,2018年,37616
8341,東海村,38685,2019年,37702
8341,東海村,38685,2020年,37891
8341,東海村,38685,2021年,37920
8341,東海村,38685,2022年,37891
8341,東海村,38685,2023年,37837
8364,大子町,28766,2002年,23321
8364,大子町,28000,2003年,23026
8364,大子町,27133,2004年,22672
8364,大子町,26133,2005年,22103
8364,大子町,25100,2006年,21641
8364,大子町,24200,2007年,21146
8364,大子町,23400,2008年,20730
8364,大子町,22475,2009年,20312
8364,大子町,21550,2010年,20073
8364,大子町,20225,2011年,19662
8364,大子町,18500,2012年,19245
8364,大子町,17375,2013年,18789
8364,大子町,16166,2014年,18384
8364,大子町,15333,2015年,18053
8364,大子町,14600,2016年,17581
8364,大子町,13966,2017年,17181
8364,大子町,13433,2018年,16682
8364,大子町,12933,2019年,16142
8364,大子町,12366,2020年,15736
8364,大子町,11966,2021年,15268
8364,大子町,11700,2022年,14932
8364,大子町,11600,2023年,14435
8442,美浦村,27350,2002年,18266
8442,美浦村,25400,2003年,18329
8442,美浦村,23100,2004年,18254
8442,美浦村,20850,2005年,18118
8442,美浦村,19400,2006年,17936
8442,美浦村,18300,2007年,17782
8442,美浦村,17350,2008年,17572
8442,美浦村,15850,2009年,17428
8442,美浦村,14450,2010年,17299
8442,美浦村,13750,2011年,17069
8442,美浦村,13050,2012年,16773
8442,美浦村,12550,2013年,16446
8442,美浦村,12250,2014年,16273
8442,美浦村,12000,2015年,15842
8442,美浦村,11750,2016年,15502
8442,美浦村,11550,2017年,15175
8442,美浦村,11400,2018年,14926
8442,美浦村,11250,2019年,14612
8442,美浦村,11100,2020年,14602
8442,美浦村,10900,2021年,14306
8442,美浦村,10700,2022年,14130
8442,美浦村,10530,2023年,13964
8443,阿見町,55052,2002年,47175
8443,阿見町,50242,2003年,47303
8443,阿見町,45336,2004年,47773
8443,阿見町,41811,2005年,47994
8443,阿見町,38777,2006年,47730
8443,阿見町,37150,2007年,47725
8443,阿見町,37568,2008年,47846
8443,阿見町,35956,2009年,47792
8443,阿見町,34680,2010年,47940
8443,阿見町,33928,2011年,48011
8443,阿見町,32407,2012年,47729
8443,阿見町,31192,2013年,47707
8443,阿見町,30407,2014年,47991
8443,阿見町,29914,2015年,47535
8443,阿見町,29607,2016年,47470
8443,阿見町,30786,2017年,47415
8443,阿見町,30626,2018年,47570
8443,阿見町,30566,2019年,47755
8443,阿見町,30513,2020年,48553
8443,阿見町,30400,2021年,48942
8443,阿見町,30380,2022年,49657
8443,阿見町,30640,2023年,49979
8447,河内町,25000,2002年,11309
8447,河内町,23250,2003年,11197
8447,河内町,21450,2004年,11079
8447,河内町,19750,2005年,10959
8447,河内町,18250,2006年,10785
8447,河内町,17100,2007年,10611
8447,河内町,16050,2008年,10431
8447,河内町,14700,2009年,10259
8447,河内町,13500,2010年,10172
8447,河内町,12350,2011年,9996
8447,河内町,11300,2012年,9797
8447,河内町,11150,2013年,9563
8447,河内町,10650,2014年,9342
8447,河内町,10475,2015年,9168
8447,河内町,10390,2016年,8943
8447,河内町,10300,2017年,8821
8447,河内町,10220,2018年,8640
8447,河内町,10145,2019年,8448
8447,河内町,10065,2020年,8231
8447,河内町,9985,2021年,8022
8447,河内町,9915,2022年,7825
8447,河内町,9850,2023年,7587
8521,八千代町,16600,2002年,24317
8521,八千代町,16233,2003年,24261
8521,八千代町,15966,2004年,24193
8521,八千代町,15200,2005年,23609
8521,八千代町,14533,2006年,23569
8521,八千代町,14100,2007年,23526
8521,八千代町,13833,2008年,23301
8521,八千代町,13433,2009年,23069
8521,八千代町,13066,2010年,23106
8521,八千代町,12666,2011年,22906
8521,八千代町,12266,2012年,22786
8521,八千代町,12016,2013年,22519
8521,八千代町,11710,2014年,22262
8521,八千代町,11580,2015年,22021
8521,八千代町,11450,2016年,21870
8521,八千代町,11383,2017年,21809
8521,八千代町,11316,2018年,21450
8521,八千代町,11283,2019年,21214
8521,八千代町,11250,2020年,21026
8521,八千代町,11216,2021年,20646
8521,八千代町,11183,2022年,20503
8521,八千代町,11150,2023年,20362
8542,五霞町,42425,2002年,10180
8542,五霞町,39150,2003年,10064
8542,五霞町,36100,2004年,10009
8542,五霞町,31433,2005年,9873
8542,五霞町,30033,2006年,9874
8542,五霞町,29500,2007年,9769
8542,五霞町,28533,2008年,9603
8542,五霞町,27400,2009年,9489
8542,五霞町,26233,2010年,9410
8542,五霞町,25033,2011年,9293
8542,五霞町,23700,2012年,9181
8542,五霞町,22700,2013年,9085
8542,五霞町,22200,2014年,8944
8542,五霞町,22500,2015年,8786
8542,五霞町,22333,2016年,8635
8542,五霞町,24150,2017年,8542
8542,五霞町,24900,2018年,8370
8542,五霞町,25450,2019年,8319
8542,五霞町,25900,2020年,8093
8542,五霞町,25900,2021年,7977
8542,五霞町,25775,2022年,7873
8542,五霞町,25725,2023年,7790
8546,境町,41100,2002年,27080
8546,境町,38166,2003年,27103
8546,境町,35177,2004年,26992
8546,境町,32355,2005年,26468
8546,境町,29988,2006年,26260
8546,境町,28587,2007年,26165
8546,境町,27662,2008年,26026
8546,境町,26937,2009年,25744
8546,境町,26312,2010年,25714
8546,境町,25600,2011年,25470
8546,境町,24714,2012年,25267
8546,境町,24085,2013年,25072
8546,境町,23842,2014年,24797
8546,境町,23671,2015年,24517
8546,境町,23400,2016年,24423
8546,境町,23271,2017年,24309
8546,境町,23142,2018年,24303
8546,境町,23085,2019年,24098
8546,境町,23028,2020年,24201
8546,境町,22971,2021年,24103
8546,境町,22942,2022年,23944
8546,境町,22928,2023年,23794
8564,利根町,47790,2002年,18649
8564,利根町,41100,2003年,18419
8564,利根町,36170,2004年,18207
8564,利根町,31710,2005年,18024
8564,利根町,28130,2006年,17806
8564,利根町,25820,2007年,17593
8564,利根町,23637,2008年,17497
8564,利根町,22212,2009年,17401
8564,利根町,20637,2010年,17473
8564,利根町,19114,2011年,17322
8564,利根町,17728,2012年,17148
8564,利根町,16821,2013年,16905
8564,利根町,16290,2014年,16681
8564,利根町,15868,2015年,16313
8564,利根町,15678,2016年,16048
8564,利根町,15522,2017年,15813
8564,利根町,15400,2018年,15632
8564,利根町,15278,2019年,15403
8564,利根町,15158,2020年,15340
8564,利根町,14962,2021年,15181
8564,利根町,14768,2022年,14966
8564,利根町,14475,2023年,14852
